Age,Gender,Education Level,Job Title,Years of Experience
28.0,Male,Bachelor's,Technical Support Specialist,2.0
44.0,Female,PhD,Senior UX Designer,15.0
39.0,Male,PhD,Senior Engineer,12.0
41.0,Male,Master's,Financial Manager,13.0
42.0,Female,PhD,Senior Data Scientist,16.0
38.0,Female,Bachelor's,Senior Project Manager,9.0
45.0,Female,Master's,Senior HR Manager,14.0
46.0,Male,PhD,Senior Data Scientist,18.0
29.0,Male,Bachelor's,Junior Business Analyst,1.5
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0
44.0,Female,PhD,Senior Data Scientist,16.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5
29.0,Female,Bachelor's,Junior Designer,2.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0
41.0,Female,Bachelor's,Senior Project Coordinator,11.0
31.0,Female,Bachelor's,Accountant,4.0
48.0,Male,Master's,Director of Marketing,19.0
33.0,Female,Master's,Senior Financial Analyst,6.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
28.0,Male,Bachelor's,Junior Financial Analyst,2.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5
28.0,Male,Bachelor's,Junior Business Analyst,2.0
35.0,Male,Master's,Product Manager,7.0
41.0,Male,Bachelor's,Senior Product Manager,14.0
42.0,Female,Master's,Product Manager,12.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0
50.0,Male,Bachelor's,CEO,25.0
30.0,Male,Bachelor's,IT Support,2.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5
27.0,Female,Master's,UX Researcher,2.0
31.0,Female,Bachelor's,Junior HR Coordinator,4.0
49.0,Female,Master's,Director of Human Capital,21.0
30.0,Male,Bachelor's,Junior Business Analyst,2.0
41.0,Female,Master's,Data Analyst,13.0
38.0,Female,Bachelor's,Senior Accountant,10.0
49.0,Male,Bachelor's,Sales Executive,21.0
40.0,Female,Bachelor's,Senior Marketing Manager,11.0
33.0,Male,Bachelor's,Junior Product Manager,4.0
43.0,Male,Bachelor's,Senior IT Project Manager,14.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0
32.0,Male,Master's,Senior Business Analyst,6.0
42.0,Female,Master's,Senior Graphic Designer,15.0
46.0,Male,Bachelor's,IT Manager,19.0
